,100,90,80,70,50,30,10
001.ak47,1.0,1.0,1.0,1.0,1.0,1.0,1.0
002.american-flag,0.9333333333333333,0.9333333333333333,0.9310344827586207,0.9642857142857143,1.0,1.0,1.0
003.backpack,0.9361702127659575,0.9375,0.9166666666666666,0.9361702127659575,0.9166666666666666,0.9361702127659575,0.9347826086956522
004.baseball-bat,0.9736842105263158,1.0,0.9736842105263158,0.9487179487179487,0.9487179487179487,0.9024390243902439,0.8222222222222222
005.baseball-glove,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.975609756097561,0.9761904761904762,0.9534883720930233
006.basketball-hoop,1.0,1.0,1.0,1.0,1.0,1.0,1.0
007.bat,1.0,1.0,1.0,1.0,1.0,1.0,1.0
008.bathtub,0.9722222222222222,0.958904109589041,0.958904109589041,0.958904109589041,0.9459459459459459,0.958904109589041,0.9436619718309859
009.bear,1.0,1.0,1.0,0.96875,1.0,0.96875,0.9393939393939394
010.beer-mug,1.0,1.0,1.0,0.9655172413793104,0.9310344827586207,0.9333333333333333,0.9310344827586207
